Questioned,Reference,angles,blacks,centroids,normalized_sizes,normalized_sums,ratios,transitions
Q022,R001,0.022748012697792357,-2.6335873359012965,-4.078125,-2.6335873359012965,-0.005129125824596743,4.03102395425909,-12.0625
Q044,R001,0.020695792723936624,5.303100236153924,-39.515625,5.303100236153924,-0.015119461249839036,4.2678646545668,-2.796875
Q066,R001,0.0012568766253229688,14.513734587784784,1.4453125,14.513734587784784,-0.004204131892930754,0.8625795389430062,3.53125
Q001,R001,-0.08309754237703673,-16.230993522730888,-92.625,-16.230993522730888,-0.07264711180914774,6.709504475344435,-14.65625
Q002,R001,-0.05672604349363085,-184.72375163601671,-14.15625,-184.72375163601671,-0.06564260466583081,6.453995692904682,-28.984375
Q003,R001,-0.10045647663912691,-42.7448452841533,-117.4921875,-42.7448452841533,-0.08255761918044585,4.188543181367865,25.8125
Q004,R001,-2.117185776803754e-05,-110.67622047148613,-35.453125,-110.67622047148613,-0.026488502481179448,4.213955817676185,-7.96875
Q005,R001,0.04221552482682779,-360.6403495817621,55.5625,-360.6403495817621,-0.02720128354315037,3.510535093218341,0.796875
Q006,R001,0.029334818702764734,-60.73225905613828,-13.953125,-60.73225905613828,0.03559979490362743,2.166051597576126,24.859375
Q007,R001,0.0065736252525046,5.117493086727325,-12.8046875,5.117493086727325,0.008901126200975794,4.258279191429881,-9.46875
Q008,R001,0.07480651010913156,-114.00373922635583,-38.90625,-114.00373922635583,-0.0037215727485144096,5.664334188876501,14.796875
Q009,R001,-0.03420107566671038,-55.65828609163661,37.71875,-55.65828609163661,-0.0426415695607225,-1.1910851363278696,-23.8125
Q010,R001,0.057710435476392534,-80.15549332263632,-19.9921875,-80.15549332263632,0.04524176348617172,-1.2482668399547339,6.546875
Q011,R001,0.00916335790137638,-91.80934518605834,-31.7265625,-91.80934518605834,-0.00651141972574884,2.443039147737459,16.125
Q012,R001,-0.08947466635258267,-1226.2867974642913,-41.2578125,-1226.2867974642913,-0.10108499199460172,-0.6023587359626597,-0.5625
Q013,R001,0.023968357895070794,19.4459344506857,48.2109375,19.4459344506857,-0.04412572895187329,3.423224172241771,16.90625
Q014,R001,0.019831167914185245,19.028330237651183,-11.4609375,19.028330237651183,0.012854381162468564,5.199219763322585,-13.6875
Q015,R001,0.12921367694224073,-2.961456744334697,-0.2109375,-2.961456744334697,0.1286076178314966,2.377382137533461,10.625
Q016,R001,0.06196066243413632,-8.712412251773841,-32.203125,-8.712412251773841,0.01900456792838174,2.835212319740307,25.171875
Q017,R001,-0.043454009654477266,-37.18056638557903,-69.171875,-37.18056638557903,-0.03895076419636857,4.231753313821963,9.390625
Q018,R001,-0.02084439067387963,16.81367363162995,-47.4921875,16.81367363162995,-0.012397940924489715,5.045244980520067,-26.703125
Q019,R001,-0.0212545822651106,-12.48155263128076,-10.609375,-12.48155263128076,-0.041137802232408566,3.2340599167837025,45.40625
Q020,R001,0.01177895631183968,-45.42516582947927,-149.328125,-45.42516582947927,0.011969860672918428,4.828163631066289,-11.828125
Q021,R001,-0.006204559735181046,3.786880467988116,48.2578125,3.786880467988116,-0.006927212596637276,-6.3225678868736965,16.75
Q023,R001,0.13445585542125948,31.772125166593973,-46.1015625,31.772125166593973,0.0981227344329898,1.5527907980090467,10.859375
Q024,R001,0.08049665610826338,-563.6654712994116,-52.015625,-563.6654712994116,0.07379561033003873,-1.1596016082676095,4.609375
Q025,R001,0.08793311045441236,-68.36521631484183,52.1953125,-68.36521631484183,0.06409033357114725,-11.245857084881445,22.703125
Q026,R001,-0.12047873307500548,14.74117849386798,-117.8125,14.74117849386798,-0.11735158374810713,7.776231289644445,-66.578125
Q027,R001,-0.0775475036037471,-86.81960800944266,-79.765625,-86.81960800944266,-0.09737750988477593,2.456217795538514,30.3125
Q028,R001,0.09204731531748381,8.16254503033055,-41.5546875,8.16254503033055,0.05185608757744746,3.5544984184037087,19.71875
Q029,R001,0.06876830741315158,-4.905881076935994,41.7265625,-4.905881076935994,0.026660852773273097,2.656668888628984,36.09375
Q030,R001,-0.09035473576903245,-3.9383815897443775,-86.578125,-3.9383815897443775,-0.08957026591809172,4.544564228653266,14.4375
Q031,R001,0.11351390360409996,19.614789242241944,30.2265625,19.614789242241944,0.10216409249348479,-3.5204030892347653,24.40625
Q032,R001,0.08777372883529268,-33.16225663108608,54.9375,-33.16225663108608,0.03477799492262816,2.4118586068219456,31.671875
